2017-01-001	10.5194/tc-2016-279	10.5194/tc-11-2111-2017	Copernicus GmbH	Crossref
2017-01-002	10.1101/098707	10.1007/s10530-017-1530-1	Cold Spring Harbor Laboratory	Crossref
2017-01-003	10.7287/peerj.preprints.2397	10.7717/peerj.3206	PeerJ	Crossref
2017-01-004	10.5194/bg-2016-556	10.5194/bg-14-4691-2017	Copernicus GmbH	Crossref
2017-01-005	10.5194/bg-2016-533	10.5194/bg-14-3585-2017	Copernicus GmbH	Crossref
2017-01-006	10.20944/preprints201701.0065.v1	10.3390/risks5030034	MDPI AG	Crossref
2017-01-007	10.5194/gmd-2016-312	10.5194/gmd-10-2365-2017	Copernicus GmbH	Crossref
2017-01-008	10.5194/acp-2016-1162	10.5194/acp-17-11177-2017	Copernicus GmbH	Crossref
2017-01-009	10.31219/osf.io/g8kbj	10.1016/j.jrp.2014.10.005	Center for Open Science	Crossref
2017-01-010	10.5194/acp-2017-35	10.5194/acp-17-6291-2017	Copernicus GmbH	Crossref
2017-01-011	10.5194/gmd-2016-306	10.5194/gmd-10-3481-2017	Copernicus GmbH	Crossref
2017-01-012	10.1101/100354	10.1086/695806	Cold Spring Harbor Laboratory	Crossref
2017-01-013	10.5194/acp-2017-18	10.5194/acp-17-10093-2017	Copernicus GmbH	Crossref
2017-01-014	10.1101/101253	10.1534/g3.117.042283	Cold Spring Harbor Laboratory	Crossref
2017-01-015	10.20944/preprints201701.0034.v1	10.3390/mca22010012	MDPI AG	Crossref
2017-01-016	10.5194/nhess-2016-359	10.5194/nhess-17-671-2017	Copernicus GmbH	Crossref
2017-01-017	10.31235/osf.io/cf8c2	10.1016/j.socscimed.2015.10.048	Center for Open Science	Crossref
2017-01-018	10.5194/acp-2016-1106	10.5194/acp-17-4731-2017	Copernicus GmbH	Crossref
2017-01-019	10.5194/acp-2016-1019	10.5194/acp-18-5619-2018	Copernicus GmbH	Crossref
2017-01-020	10.1101/099317	10.1073/pnas.1700368114	Cold Spring Harbor Laboratory	Crossref
2017-01-021	10.5194/hess-2016-663	10.5194/hess-21-4011-2017	Copernicus GmbH	Crossref
2017-01-022	10.1101/099663	10.1371/journal.pone.0176384	Cold Spring Harbor Laboratory	Crossref
2017-01-023	10.1101/103176	10.1371/journal.pgen.1006721	Cold Spring Harbor Laboratory	Crossref
2017-01-024	10.20944/preprints201701.0030.v2	10.3390/buildings7010025	MDPI AG	Crossref
2017-01-025	10.1101/103549	10.1016/j.csbj.2017.10.002	Cold Spring Harbor Laboratory	Crossref
2017-01-026	10.2196/preprints.7359	10.2196/publichealth.7359	JMIR Publications Inc.	Crossref
2017-01-027	10.5194/nhess-2017-24	10.5194/nhess-17-817-2017	Copernicus GmbH	Crossref
2017-01-028	10.5194/esd-2017-6	10.5194/esd-8-429-2017	Copernicus GmbH	Crossref
2017-01-029	10.20944/preprints201609.0106.v2	10.3390/mca22010017	MDPI AG	Crossref
2017-01-030	10.1101/099838	10.1080/21690731.2017.1327006	Cold Spring Harbor Laboratory	Crossref
2017-01-031	10.1101/100750	10.1093/bioinformatics/btx675	Cold Spring Harbor Laboratory	Crossref
2017-01-032	10.1101/098301	10.1186/s12868-017-0344-5	Cold Spring Harbor Laboratory	Crossref
2017-01-033	10.1101/097923	10.1038/s41593-017-0021-0	Cold Spring Harbor Laboratory	Crossref
2017-01-034	10.1101/104901	10.1038/s41598-018-24039-1	Cold Spring Harbor Laboratory	Crossref
2017-01-035	10.1101/101246	10.1016/j.jbi.2017.06.015	Cold Spring Harbor Laboratory	Crossref
2017-01-036	10.1101/101360	10.1038/s41467-019-11781-x	Cold Spring Harbor Laboratory	Crossref
2017-01-037	10.5194/cp-2017-6	10.5194/cp-13-897-2017	Copernicus GmbH	Crossref
2017-01-038	10.1101/103127	10.1371/journal.pone.0189922	Cold Spring Harbor Laboratory	Crossref
2017-01-039	10.5194/acp-2017-33	10.5194/acp-17-8757-2017	Copernicus GmbH	Crossref
2017-01-040	10.1101/100990	10.1105/tpc.17.00312	Cold Spring Harbor Laboratory	Crossref
2017-01-041	10.1101/099606	10.1016/j.molcel.2017.03.001	Cold Spring Harbor Laboratory	Crossref
2017-01-042	10.5194/tc-2016-299	10.5194/tc-11-1265-2017	Copernicus GmbH	Crossref
2017-01-043	10.1101/101782	10.1038/s41467-017-01000-w	Cold Spring Harbor Laboratory	Crossref
2017-01-044	10.5194/esd-2016-75	10.5194/esd-8-439-2017	Copernicus GmbH	Crossref
2017-01-045	10.1101/102681	10.1186/s13059-018-1547-5	Cold Spring Harbor Laboratory	Crossref
2017-01-046	10.1101/104554	10.1111/nph.14992	Cold Spring Harbor Laboratory	Crossref
2017-01-047	10.31234/osf.io/5jfsu	10.1007/s10902-014-9583-7	Center for Open Science	Crossref
2017-01-048	10.5194/bg-2016-551	10.5194/bg-14-3253-2017	Copernicus GmbH	Crossref
2017-01-049	10.1101/104067	10.1186/s13072-017-0141-5	Cold Spring Harbor Laboratory	Crossref
2017-01-050	10.31219/osf.io/kmcen	10.17605/osf.io/bakjh	Center for Open Science	DataCite
2017-01-051	10.1101/099572	10.1093/molbev/msx150	Cold Spring Harbor Laboratory	Crossref
